icao,iata,name,city,country,lat,lng,alt
AYGA,GKA,Goroka Airport,Goroka,Papua New Guinea,-6.0816898346,145.391998291,5282
AYMD,MAG,Madang Airport,Madang,Papua New Guinea,-5.2070798874,145.789001465,20
AYMH,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789856,144.296005249,5388
AYNZ,LAE,Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977,239
AYPY,POM,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.4433803558,147.2200012207,146
AYWK,WWK,Wewak International Airport,Wewak,Papua New Guinea,-3.5838301182,143.669006348,19
BGBW,UAK,Narsarsuaq Airport,Narssarssuaq,Greenland,61.1604995728,-45.4259986877,112
BGGH,GOH,Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.6781005859,283
BGSF,SFJ,Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122218992,-50.7116031647,165
BGTL,THU,Thule Air Base,Thule,Greenland,76.5311965942,-68.7032012939,251
BIAR,AEY,Akureyri Airport,Akureyri,Iceland,65.6600036621,-18.0727005005,6
BIEG,EGS,Egilsstaðir Airport,Egilsstadir,Iceland,65.2833023071,-14.4013996124,76
BIHN,HFN,Hornafjörður Airport,Hofn,Iceland,64.295601,-15.2272,24
BIHU,HZK,Húsavík Airport,Husavik,Iceland,65.952301,-17.426001,48
BIIS,IFJ,Ísafjörður Airport,Isafjordur,Iceland,66.0580978394,-23.1352996826,8
BIKF,KEF,Keflavik International Airport,Keflavik,Iceland,63.9850006104,-22.6056003571,171
BIPA,PFJ,Patreksfjörður Airport,Patreksfjordur,Iceland,65.555801,-23.965,11
BIRK,RKV,Reykjavik Airport,Reykjavik,Iceland,64.1299972534,-21.9405994415,48
BISI,SIJ,Siglufjörður Airport,Siglufjordur,Iceland,66.133301,-18.9167,10
BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,63.4243011475,-20.2789001465,326
CYAM,YAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.4850006104,-84.5093994141,630
